"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК ""ЗЕНИТСТРОЙ""";г. Москва, вн.тер.г. городской округ Троицк, г Троицк, ул Нагорная, д. 8, помещ. XII, ком. 13, 11
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОБИОТЕХНОЛОГИИ""";г. Москва, вн.тер.г. муниципальный округ Лианозово, ул Новгородская, д. 38, кв. 162
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСКОВСКИЙ МАСЛО-ЖИРОВОЙ КОМБИНАТ""";г. Москва, вн.тер.г. муниципальный округ Нагатинский затон, ул Коломенская, д. 12, к. 1, этаж/помещ. 1/XV, офис 3-1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИДВ-ГРУПП""";г. Москва, вн.тер.г. муниципальный округ Чертаново Северное, ул Кировоградская, д. 4, к. 4, кв. 103
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «КОПИР»;г. Москва, вн.тер.г. муниципальный округ Таганский, ул Воронцовская, д. 35Б, к. 1, этаж 4, помещ. II КОМ. 8
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРМАКОН АДДИТИВНЫЕ ТЕХНОЛОГИИ""";г. Москва, вн.тер.г. муниципальный округ Гольяново, ул Красноярская, д. 17, этаж/пом/ком/оф 1/XV/2/81
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""ИНТЕГРАЛ""";г. Москва, вн.тер.г. муниципальный округ Раменки, км МЖД Киевское 5-й, д. 1, стр. 1, пом оф 4/3 4/3-13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСТАНКИНСКИЙ ПИЩЕВОЙ КОМБИНАТ №4""";г. Москва, вн.тер.г. муниципальный округ Богородское, проезд Погонный, д. 5, к. 1, этаж/помещ. 1/III, ком. 13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНТАМИДА""";г. Москва, вн.тер.г. муниципальный округ Можайский, ул Горбунова, д. 12, к. 2, стр. 1, помещ. I ЭТАЖ 1, ком. 19 (01001)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМНЕМ СТРОИМ""";г. Москва, вн.тер.г. городской округ Щербинка, г Щербинка, ул Юбилейная, д. 14, ком. 2 ЭТАЖ 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАЛЬПРОМ""";г. Москва, вн.тер.г. муниципальный округ Черемушки, ул Каховка, д. 33, к. 1, эт/пом 1/I, ком/оф 2/62А
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БГС""";г. Москва, вн.тер.г. муниципальный округ Ясенево, ул Паустовского, д. 5, к. 1, кв. 80
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВО БИОТЕХНОЛОГИЧЕСКИХ ПРОДУКТОВ АРТЕСАНА""";г. Москва, вн.тер.г. муниципальный округ Соколиная гора, ул Щербаковская, д. 16, кв. 144
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРГУС""";г. Москва, вн.тер.г. муниципальный округ Выхино-Жулебино, проезд Сормовский, д. 5, к. 1, этаж 3, помещ. II, КОМ.3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГУМИЧ РТК""";г. Москва, вн.тер.г. муниципальный округ Нагорный, ш Варшавское, д. 28А, этаж 6, офис 41
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКО-ПЛЮС""";г. Москва, вн.тер.г. муниципальный округ Перово, ул Перовская, д. 20, кв. 7
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОКОВРИК""";г. Москва, вн.тер.г. муниципальный округ Ховрино, ул Беломорская, д. 40, стр. 2, помещ. 11
